Wind Speed Bin,Mean_Wind_Speed,Avg_Turbulence
"(0.0, 1.0]",0.7336916167664671,0.3030034573007084
"(1.0, 2.0]",1.5667338995046003,0.18409519748995937
"(2.0, 3.0]",2.5635838787461247,0.137178582612852
"(3.0, 4.0]",3.5357728944820908,0.1133771854060981
"(4.0, 5.0]",4.513599226091763,0.10291206008927262
"(5.0, 6.0]",5.504122898120673,0.09497543389839014
"(6.0, 7.0]",6.5009896983075794,0.08785570946343856
"(7.0, 8.0]",7.489007105263157,0.08633049648811832
"(8.0, 9.0]",8.477690003256269,0.08731762558706155
"(9.0, 10.0]",9.463058863791924,0.09172423482621432
"(10.0, 11.0]",10.439,0.09756453622378874
"(11.0, 12.0]",11.454649926144755,0.09947706422752046
"(12.0, 13.0]",12.424440406976743,0.09548007008245346
"(13.0, 14.0]",13.446694189602448,0.09515855298347761
"(14.0, 15.0]",14.408546762589928,0.08200817817081027
"(15.0, 16.0]",15.354935483870968,0.09282047024993734
"(16.0, 17.0]",16.228571428571428,0.09509784696874542
