Dir,Angle,Speed_Bin,Count,Frequency (%)
SW,90,"[11.0, 11.5)",0,0.0
W,90,"[11.0, 11.5)",0,0.0
E,90,"[11.5, 12.0)",2,0.0035340684195646027
N,90,"[11.5, 12.0)",0,0.0
NE,90,"[11.5, 12.0)",0,0.0
NW,90,"[11.5, 12.0)",0,0.0
S,90,"[11.5, 12.0)",0,0.0
SE,90,"[11.5, 12.0)",0,0.0
SW,90,"[11.5, 12.0)",0,0.0
W,90,"[11.5, 12.0)",0,0.0
E,90,"[12.0, 12.5)",5,0.008835171048911508
N,90,"[12.0, 12.5)",0,0.0
NE,90,"[12.0, 12.5)",0,0.0
NW,90,"[12.0, 12.5)",0,0.0
S,90,"[12.0, 12.5)",0,0.0
SE,90,"[12.0, 12.5)",0,0.0
SW,90,"[12.0, 12.5)",0,0.0
W,90,"[12.0, 12.5)",0,0.0
E,90,"[12.5, 13.0)",10,0.017670342097823016
N,90,"[12.5, 13.0)",0,0.0
NE,90,"[12.5, 13.0)",0,0.0
NW,90,"[12.5, 13.0)",0,0.0
S,90,"[12.5, 13.0)",0,0.0
SE,90,"[12.5, 13.0)",0,0.0
SW,90,"[12.5, 13.0)",0,0.0
W,90,"[12.5, 13.0)",0,0.0
E,90,"[13.0, 13.5)",1,0.0017670342097823013
N,90,"[13.0, 13.5)",0,0.0
NE,90,"[13.0, 13.5)",0,0.0
NW,90,"[13.0, 13.5)",0,0.0
S,90,"[13.0, 13.5)",0,0.0
SE,90,"[13.0, 13.5)",0,0.0
SW,90,"[13.0, 13.5)",0,0.0
W,90,"[13.0, 13.5)",0,0.0
E,90,"[13.5, 14.0)",0,0.0
N,90,"[13.5, 14.0)",0,0.0
NE,90,"[13.5, 14.0)",0,0.0
NW,90,"[13.5, 14.0)",0,0.0
S,90,"[13.5, 14.0)",0,0.0
SE,90,"[13.5, 14.0)",0,0.0
SW,90,"[13.5, 14.0)",0,0.0
W,90,"[13.5, 14.0)",0,0.0
E,90,"[14.0, 14.5)",0,0.0
N,90,"[14.0, 14.5)",0,0.0
NE,90,"[14.0, 14.5)",0,0.0
NW,90,"[14.0, 14.5)",0,0.0
S,90,"[14.0, 14.5)",0,0.0
SE,90,"[14.0, 14.5)",0,0.0
SW,90,"[14.0, 14.5)",0,0.0
W,90,"[14.0, 14.5)",0,0.0
E,90,"[14.5, 15.0)",0,0.0
N,90,"[14.5, 15.0)",0,0.0
NE,90,"[14.5, 15.0)",0,0.0
NW,90,"[14.5, 15.0)",0,0.0
S,90,"[14.5, 15.0)",0,0.0
SE,90,"[14.5, 15.0)",0,0.0
SW,90,"[14.5, 15.0)",0,0.0
W,90,"[14.5, 15.0)",0,0.0
E,90,"[15.0, 15.5)",0,0.0
N,90,"[15.0, 15.5)",0,0.0
NE,90,"[15.0, 15.5)",0,0.0
NW,90,"[15.0, 15.5)",0,0.0
S,90,"[15.0, 15.5)",0,0.0
SE,90,"[15.0, 15.5)",0,0.0
SW,90,"[15.0, 15.5)",0,0.0
W,90,"[15.0, 15.5)",0,0.0
E,90,"[15.5, 16.0)",0,0.0
N,90,"[15.5, 16.0)",0,0.0
NE,90,"[15.5, 16.0)",0,0.0
NW,90,"[15.5, 16.0)",0,0.0
S,90,"[15.5, 16.0)",0,0.0
SE,90,"[15.5, 16.0)",0,0.0
SW,90,"[15.5, 16.0)",0,0.0
W,90,"[15.5, 16.0)",0,0.0
E,90,"[16.0, 16.5)",0,0.0
N,90,"[16.0, 16.5)",0,0.0
NE,90,"[16.0, 16.5)",0,0.0
NW,90,"[16.0, 16.5)",0,0.0
S,90,"[16.0, 16.5)",0,0.0
SE,90,"[16.0, 16.5)",0,0.0
SW,90,"[16.0, 16.5)",0,0.0
W,90,"[16.0, 16.5)",0,0.0
E,90,"[16.5, 17.0)",0,0.0
N,90,"[16.5, 17.0)",0,0.0
NE,90,"[16.5, 17.0)",0,0.0
NW,90,"[16.5, 17.0)",0,0.0
S,90,"[16.5, 17.0)",0,0.0
SE,90,"[16.5, 17.0)",0,0.0
SW,90,"[16.5, 17.0)",0,0.0
W,90,"[16.5, 17.0)",0,0.0
E,135,"[0.0, 0.5)",0,0.0
N,135,"[0.0, 0.5)",0,0.0
NE,135,"[0.0, 0.5)",0,0.0
NW,135,"[0.0, 0.5)",0,0.0
S,135,"[0.0, 0.5)",0,0.0
SE,135,"[0.0, 0.5)",3,0.005301102629346904
SW,135,"[0.0, 0.5)",0,0.0
W,135,"[0.0, 0.5)",0,0.0
E,135,"[0.5, 1.0)",0,0.0
N,135,"[0.5, 1.0)",0,0.0
NE,135,"[0.5, 1.0)",0,0.0
NW,135,"[0.5, 1.0)",0,0.0
S,135,"[0.5, 1.0)",0,0.0
SE,135,"[0.5, 1.0)",25,0.044175855244557534
SW,135,"[0.5, 1.0)",0,0.0
W,135,"[0.5, 1.0)",0,0.0
E,135,"[1.0, 1.5)",0,0.0
N,135,"[1.0, 1.5)",0,0.0
NE,135,"[1.0, 1.5)",0,0.0
NW,135,"[1.0, 1.5)",0,0.0
S,135,"[1.0, 1.5)",0,0.0
SE,135,"[1.0, 1.5)",58,0.10248798416737348
SW,135,"[1.0, 1.5)",0,0.0
W,135,"[1.0, 1.5)",0,0.0
E,135,"[1.5, 2.0)",0,0.0
N,135,"[1.5, 2.0)",0,0.0
NE,135,"[1.5, 2.0)",0,0.0
NW,135,"[1.5, 2.0)",0,0.0
S,135,"[1.5, 2.0)",0,0.0
SE,135,"[1.5, 2.0)",81,0.1431297709923664
SW,135,"[1.5, 2.0)",0,0.0
W,135,"[1.5, 2.0)",0,0.0
E,135,"[2.0, 2.5)",0,0.0
N,135,"[2.0, 2.5)",0,0.0
NE,135,"[2.0, 2.5)",0,0.0
NW,135,"[2.0, 2.5)",0,0.0
S,135,"[2.0, 2.5)",0,0.0
SE,135,"[2.0, 2.5)",117,0.20674300254452924
SW,135,"[2.0, 2.5)",0,0.0
W,135,"[2.0, 2.5)",0,0.0
E,135,"[2.5, 3.0)",0,0.0
N,135,"[2.5, 3.0)",0,0.0
NE,135,"[2.5, 3.0)",0,0.0
NW,135,"[2.5, 3.0)",0,0.0
S,135,"[2.5, 3.0)",0,0.0
SE,135,"[2.5, 3.0)",197,0.34810573932711336
SW,135,"[2.5, 3.0)",0,0.0
W,135,"[2.5, 3.0)",0,0.0
E,135,"[3.0, 3.5)",0,0.0
N,135,"[3.0, 3.5)",0,0.0
NE,135,"[3.0, 3.5)",0,0.0
NW,135,"[3.0, 3.5)",0,0.0
S,135,"[3.0, 3.5)",0,0.0
SE,135,"[3.0, 3.5)",334,0.5901894260672886
SW,135,"[3.0, 3.5)",0,0.0
W,135,"[3.0, 3.5)",0,0.0
E,135,"[3.5, 4.0)",0,0.0
N,135,"[3.5, 4.0)",0,0.0
NE,135,"[3.5, 4.0)",0,0.0
NW,135,"[3.5, 4.0)",0,0.0
S,135,"[3.5, 4.0)",0,0.0
SE,135,"[3.5, 4.0)",488,0.8623126943737631
SW,135,"[3.5, 4.0)",0,0.0
W,135,"[3.5, 4.0)",0,0.0
E,135,"[4.0, 4.5)",0,0.0
N,135,"[4.0, 4.5)",0,0.0
NE,135,"[4.0, 4.5)",0,0.0
NW,135,"[4.0, 4.5)",0,0.0
S,135,"[4.0, 4.5)",0,0.0
SE,135,"[4.0, 4.5)",483,0.8534775233248516
SW,135,"[4.0, 4.5)",0,0.0
W,135,"[4.0, 4.5)",0,0.0
E,135,"[4.5, 5.0)",0,0.0
N,135,"[4.5, 5.0)",0,0.0
NE,135,"[4.5, 5.0)",0,0.0
NW,135,"[4.5, 5.0)",0,0.0
S,135,"[4.5, 5.0)",0,0.0
SE,135,"[4.5, 5.0)",455,0.8040005654509472
SW,135,"[4.5, 5.0)",0,0.0
W,135,"[4.5, 5.0)",0,0.0
E,135,"[5.0, 5.5)",0,0.0
N,135,"[5.0, 5.5)",0,0.0
NE,135,"[5.0, 5.5)",0,0.0
NW,135,"[5.0, 5.5)",0,0.0
S,135,"[5.0, 5.5)",0,0.0
SE,135,"[5.0, 5.5)",390,0.6891433418150975
SW,135,"[5.0, 5.5)",0,0.0
W,135,"[5.0, 5.5)",0,0.0
E,135,"[5.5, 6.0)",0,0.0
N,135,"[5.5, 6.0)",0,0.0
NE,135,"[5.5, 6.0)",0,0.0
NW,135,"[5.5, 6.0)",0,0.0
S,135,"[5.5, 6.0)",0,0.0
SE,135,"[5.5, 6.0)",284,0.5018377155781736
SW,135,"[5.5, 6.0)",0,0.0
W,135,"[5.5, 6.0)",0,0.0
E,135,"[6.0, 6.5)",0,0.0
N,135,"[6.0, 6.5)",0,0.0
NE,135,"[6.0, 6.5)",0,0.0
NW,135,"[6.0, 6.5)",0,0.0
S,135,"[6.0, 6.5)",0,0.0
SE,135,"[6.0, 6.5)",212,0.3746112524738479
SW,135,"[6.0, 6.5)",0,0.0
W,135,"[6.0, 6.5)",0,0.0
E,135,"[6.5, 7.0)",0,0.0
N,135,"[6.5, 7.0)",0,0.0
NE,135,"[6.5, 7.0)",0,0.0
NW,135,"[6.5, 7.0)",0,0.0
S,135,"[6.5, 7.0)",0,0.0
SE,135,"[6.5, 7.0)",107,0.18907266044670626
SW,135,"[6.5, 7.0)",0,0.0
W,135,"[6.5, 7.0)",0,0.0
E,135,"[7.0, 7.5)",0,0.0
N,135,"[7.0, 7.5)",0,0.0
NE,135,"[7.0, 7.5)",0,0.0
NW,135,"[7.0, 7.5)",0,0.0
S,135,"[7.0, 7.5)",0,0.0
SE,135,"[7.0, 7.5)",52,0.09188577890867967
SW,135,"[7.0, 7.5)",0,0.0
W,135,"[7.0, 7.5)",0,0.0
E,135,"[7.5, 8.0)",0,0.0
N,135,"[7.5, 8.0)",0,0.0
NE,135,"[7.5, 8.0)",0,0.0
NW,135,"[7.5, 8.0)",0,0.0
S,135,"[7.5, 8.0)",0,0.0
SE,135,"[7.5, 8.0)",20,0.03534068419564603
SW,135,"[7.5, 8.0)",0,0.0
W,135,"[7.5, 8.0)",0,0.0
E,135,"[8.0, 8.5)",0,0.0
N,135,"[8.0, 8.5)",0,0.0
NE,135,"[8.0, 8.5)",0,0.0
NW,135,"[8.0, 8.5)",0,0.0
S,135,"[8.0, 8.5)",0,0.0
SE,135,"[8.0, 8.5)",10,0.017670342097823016
SW,135,"[8.0, 8.5)",0,0.0
W,135,"[8.0, 8.5)",0,0.0
E,135,"[8.5, 9.0)",0,0.0
N,135,"[8.5, 9.0)",0,0.0
NE,135,"[8.5, 9.0)",0,0.0
NW,135,"[8.5, 9.0)",0,0.0
S,135,"[8.5, 9.0)",0,0.0
SE,135,"[8.5, 9.0)",3,0.005301102629346904
SW,135,"[8.5, 9.0)",0,0.0
W,135,"[8.5, 9.0)",0,0.0
E,135,"[9.0, 9.5)",0,0.0
N,135,"[9.0, 9.5)",0,0.0
NE,135,"[9.0, 9.5)",0,0.0
NW,135,"[9.0, 9.5)",0,0.0
S,135,"[9.0, 9.5)",0,0.0
SE,135,"[9.0, 9.5)",2,0.0035340684195646027
SW,135,"[9.0, 9.5)",0,0.0
W,135,"[9.0, 9.5)",0,0.0
E,135,"[9.5, 10.0)",0,0.0
N,135,"[9.5, 10.0)",0,0.0
NE,135,"[9.5, 10.0)",0,0.0
NW,135,"[9.5, 10.0)",0,0.0
S,135,"[9.5, 10.0)",0,0.0
SE,135,"[9.5, 10.0)",0,0.0
SW,135,"[9.5, 10.0)",0,0.0
W,135,"[9.5, 10.0)",0,0.0
E,135,"[10.0, 10.5)",0,0.0
N,135,"[10.0, 10.5)",0,0.0
NE,135,"[10.0, 10.5)",0,0.0
NW,135,"[10.0, 10.5)",0,0.0
S,135,"[10.0, 10.5)",0,0.0
SE,135,"[10.0, 10.5)",0,0.0
SW,135,"[10.0, 10.5)",0,0.0
W,135,"[10.0, 10.5)",0,0.0
E,135,"[10.5, 11.0)",0,0.0
N,135,"[10.5, 11.0)",0,0.0
NE,135,"[10.5, 11.0)",0,0.0
NW,135,"[10.5, 11.0)",0,0.0
S,135,"[10.5, 11.0)",0,0.0
SE,135,"[10.5, 11.0)",0,0.0
SW,135,"[10.5, 11.0)",0,0.0
W,135,"[10.5, 11.0)",0,0.0
E,135,"[11.0, 11.5)",0,0.0
N,135,"[11.0, 11.5)",0,0.0
NE,135,"[11.0, 11.5)",0,0.0
NW,135,"[11.0, 11.5)",0,0.0
S,135,"[11.0, 11.5)",0,0.0
SE,135,"[11.0, 11.5)",0,0.0
SW,135,"[11.0, 11.5)",0,0.0
W,135,"[11.0, 11.5)",0,0.0
E,135,"[11.5, 12.0)",0,0.0
N,135,"[11.5, 12.0)",0,0.0
NE,135,"[11.5, 12.0)",0,0.0
NW,135,"[11.5, 12.0)",0,0.0
S,135,"[11.5, 12.0)",0,0.0
SE,135,"[11.5, 12.0)",0,0.0
SW,135,"[11.5, 12.0)",0,0.0
W,135,"[11.5, 12.0)",0,0.0
E,135,"[12.0, 12.5)",0,0.0
N,135,"[12.0, 12.5)",0,0.0
NE,135,"[12.0, 12.5)",0,0.0
NW,135,"[12.0, 12.5)",0,0.0
S,135,"[12.0, 12.5)",0,0.0
SE,135,"[12.0, 12.5)",1,0.0017670342097823013
SW,135,"[12.0, 12.5)",0,0.0
W,135,"[12.0, 12.5)",0,0.0
E,135,"[12.5, 13.0)",0,0.0
N,135,"[12.5, 13.0)",0,0.0
NE,135,"[12.5, 13.0)",0,0.0
NW,135,"[12.5, 13.0)",0,0.0
S,135,"[12.5, 13.0)",0,0.0
SE,135,"[12.5, 13.0)",0,0.0
SW,135,"[12.5, 13.0)",0,0.0
W,135,"[12.5, 13.0)",0,0.0
E,135,"[13.0, 13.5)",0,0.0
N,135,"[13.0, 13.5)",0,0.0
NE,135,"[13.0, 13.5)",0,0.0
NW,135,"[13.0, 13.5)",0,0.0
S,135,"[13.0, 13.5)",0,0.0
SE,135,"[13.0, 13.5)",0,0.0
SW,135,"[13.0, 13.5)",0,0.0
W,135,"[13.0, 13.5)",0,0.0
E,135,"[13.5, 14.0)",0,0.0
N,135,"[13.5, 14.0)",0,0.0
NE,135,"[13.5, 14.0)",0,0.0
NW,135,"[13.5, 14.0)",0,0.0
S,135,"[13.5, 14.0)",0,0.0
SE,135,"[13.5, 14.0)",0,0.0
SW,135,"[13.5, 14.0)",0,0.0
W,135,"[13.5, 14.0)",0,0.0
E,135,"[14.0, 14.5)",0,0.0
N,135,"[14.0, 14.5)",0,0.0
NE,135,"[14.0, 14.5)",0,0.0
NW,135,"[14.0, 14.5)",0,0.0
S,135,"[14.0, 14.5)",0,0.0
SE,135,"[14.0, 14.5)",0,0.0
SW,135,"[14.0, 14.5)",0,0.0
W,135,"[14.0, 14.5)",0,0.0
E,135,"[14.5, 15.0)",0,0.0
N,135,"[14.5, 15.0)",0,0.0
NE,135,"[14.5, 15.0)",0,0.0
NW,135,"[14.5, 15.0)",0,0.0
S,135,"[14.5, 15.0)",0,0.0
SE,135,"[14.5, 15.0)",0,0.0
SW,135,"[14.5, 15.0)",0,0.0
W,135,"[14.5, 15.0)",0,0.0
E,135,"[15.0, 15.5)",0,0.0
N,135,"[15.0, 15.5)",0,0.0
NE,135,"[15.0, 15.5)",0,0.0
NW,135,"[15.0, 15.5)",0,0.0
S,135,"[15.0, 15.5)",0,0.0
SE,135,"[15.0, 15.5)",0,0.0
SW,135,"[15.0, 15.5)",0,0.0
W,135,"[15.0, 15.5)",0,0.0
E,135,"[15.5, 16.0)",0,0.0
N,135,"[15.5, 16.0)",0,0.0
NE,135,"[15.5, 16.0)",0,0.0
NW,135,"[15.5, 16.0)",0,0.0
S,135,"[15.5, 16.0)",0,0.0
SE,135,"[15.5, 16.0)",0,0.0
SW,135,"[15.5, 16.0)",0,0.0
W,135,"[15.5, 16.0)",0,0.0
E,135,"[16.0, 16.5)",0,0.0
N,135,"[16.0, 16.5)",0,0.0
NE,135,"[16.0, 16.5)",0,0.0
NW,135,"[16.0, 16.5)",0,0.0
S,135,"[16.0, 16.5)",0,0.0
SE,135,"[16.0, 16.5)",0,0.0
SW,135,"[16.0, 16.5)",0,0.0
W,135,"[16.0, 16.5)",0,0.0
E,135,"[16.5, 17.0)",0,0.0
N,135,"[16.5, 17.0)",0,0.0
NE,135,"[16.5, 17.0)",0,0.0
NW,135,"[16.5, 17.0)",0,0.0
S,135,"[16.5, 17.0)",0,0.0
SE,135,"[16.5, 17.0)",0,0.0
SW,135,"[16.5, 17.0)",0,0.0
W,135,"[16.5, 17.0)",0,0.0
E,180,"[0.0, 0.5)",0,0.0
N,180,"[0.0, 0.5)",0,0.0
NE,180,"[0.0, 0.5)",0,0.0
NW,180,"[0.0, 0.5)",0,0.0
S,180,"[0.0, 0.5)",7,0.01236923946847611
SE,180,"[0.0, 0.5)",0,0.0
SW,180,"[0.0, 0.5)",0,0.0
W,180,"[0.0, 0.5)",0,0.0
E,180,"[0.5, 1.0)",0,0.0
N,180,"[0.5, 1.0)",0,0.0
NE,180,"[0.5, 1.0)",0,0.0
NW,180,"[0.5, 1.0)",0,0.0
S,180,"[0.5, 1.0)",37,0.06538026576194515
SE,180,"[0.5, 1.0)",0,0.0
SW,180,"[0.5, 1.0)",0,0.0
W,180,"[0.5, 1.0)",0,0.0
E,180,"[1.0, 1.5)",0,0.0
N,180,"[1.0, 1.5)",0,0.0
NE,180,"[1.0, 1.5)",0,0.0
NW,180,"[1.0, 1.5)",0,0.0
S,180,"[1.0, 1.5)",52,0.09188577890867967
SE,180,"[1.0, 1.5)",0,0.0
SW,180,"[1.0, 1.5)",0,0.0
W,180,"[1.0, 1.5)",0,0.0
E,180,"[1.5, 2.0)",0,0.0
N,180,"[1.5, 2.0)",0,0.0
NE,180,"[1.5, 2.0)",0,0.0
NW,180,"[1.5, 2.0)",0,0.0
S,180,"[1.5, 2.0)",72,0.1272264631043257
SE,180,"[1.5, 2.0)",0,0.0
SW,180,"[1.5, 2.0)",0,0.0
W,180,"[1.5, 2.0)",0,0.0
E,180,"[2.0, 2.5)",0,0.0
N,180,"[2.0, 2.5)",0,0.0
NE,180,"[2.0, 2.5)",0,0.0
NW,180,"[2.0, 2.5)",0,0.0
S,180,"[2.0, 2.5)",132,0.23324851569126379
SE,180,"[2.0, 2.5)",0,0.0
SW,180,"[2.0, 2.5)",0,0.0
W,180,"[2.0, 2.5)",0,0.0
E,180,"[2.5, 3.0)",0,0.0
N,180,"[2.5, 3.0)",0,0.0
NE,180,"[2.5, 3.0)",0,0.0
NW,180,"[2.5, 3.0)",0,0.0
S,180,"[2.5, 3.0)",212,0.3746112524738479
SE,180,"[2.5, 3.0)",0,0.0
SW,180,"[2.5, 3.0)",0,0.0
W,180,"[2.5, 3.0)",0,0.0
E,180,"[3.0, 3.5)",0,0.0
N,180,"[3.0, 3.5)",0,0.0
NE,180,"[3.0, 3.5)",0,0.0
NW,180,"[3.0, 3.5)",0,0.0
S,180,"[3.0, 3.5)",188,0.3322024314390727
SE,180,"[3.0, 3.5)",0,0.0
SW,180,"[3.0, 3.5)",0,0.0
W,180,"[3.0, 3.5)",0,0.0
E,180,"[3.5, 4.0)",0,0.0
N,180,"[3.5, 4.0)",0,0.0
NE,180,"[3.5, 4.0)",0,0.0
NW,180,"[3.5, 4.0)",0,0.0
S,180,"[3.5, 4.0)",218,0.38521345773254173
SE,180,"[3.5, 4.0)",0,0.0
SW,180,"[3.5, 4.0)",0,0.0
W,180,"[3.5, 4.0)",0,0.0
E,180,"[4.0, 4.5)",0,0.0
N,180,"[4.0, 4.5)",0,0.0
NE,180,"[4.0, 4.5)",0,0.0
NW,180,"[4.0, 4.5)",0,0.0
S,180,"[4.0, 4.5)",240,0.4240882103477523
SE,180,"[4.0, 4.5)",0,0.0
SW,180,"[4.0, 4.5)",0,0.0
W,180,"[4.0, 4.5)",0,0.0
E,180,"[4.5, 5.0)",0,0.0
N,180,"[4.5, 5.0)",0,0.0
NE,180,"[4.5, 5.0)",0,0.0
NW,180,"[4.5, 5.0)",0,0.0
S,180,"[4.5, 5.0)",271,0.4788662708510037
SE,180,"[4.5, 5.0)",0,0.0
SW,180,"[4.5, 5.0)",0,0.0
W,180,"[4.5, 5.0)",0,0.0
E,180,"[5.0, 5.5)",0,0.0
N,180,"[5.0, 5.5)",0,0.0
NE,180,"[5.0, 5.5)",0,0.0
NW,180,"[5.0, 5.5)",0,0.0
S,180,"[5.0, 5.5)",158,0.2791914051456036
SE,180,"[5.0, 5.5)",0,0.0
SW,180,"[5.0, 5.5)",0,0.0
W,180,"[5.0, 5.5)",0,0.0
E,180,"[5.5, 6.0)",0,0.0
N,180,"[5.5, 6.0)",0,0.0
NE,180,"[5.5, 6.0)",0,0.0
NW,180,"[5.5, 6.0)",0,0.0
S,180,"[5.5, 6.0)",106,0.18730562623692396
SE,180,"[5.5, 6.0)",0,0.0
SW,180,"[5.5, 6.0)",0,0.0
W,180,"[5.5, 6.0)",0,0.0
E,180,"[6.0, 6.5)",0,0.0
N,180,"[6.0, 6.5)",0,0.0
NE,180,"[6.0, 6.5)",0,0.0
NW,180,"[6.0, 6.5)",0,0.0
S,180,"[6.0, 6.5)",114,0.20144189991518233
SE,180,"[6.0, 6.5)",0,0.0
SW,180,"[6.0, 6.5)",0,0.0
W,180,"[6.0, 6.5)",0,0.0
E,180,"[6.5, 7.0)",0,0.0
N,180,"[6.5, 7.0)",0,0.0
NE,180,"[6.5, 7.0)",0,0.0
NW,180,"[6.5, 7.0)",0,0.0
S,180,"[6.5, 7.0)",68,0.12015832626519649
SE,180,"[6.5, 7.0)",0,0.0
SW,180,"[6.5, 7.0)",0,0.0
W,180,"[6.5, 7.0)",0,0.0
E,180,"[7.0, 7.5)",0,0.0
N,180,"[7.0, 7.5)",0,0.0
NE,180,"[7.0, 7.5)",0,0.0
NW,180,"[7.0, 7.5)",0,0.0
S,180,"[7.0, 7.5)",51,0.09011874469889737
SE,180,"[7.0, 7.5)",0,0.0
SW,180,"[7.0, 7.5)",0,0.0
W,180,"[7.0, 7.5)",0,0.0
E,180,"[7.5, 8.0)",0,0.0
N,180,"[7.5, 8.0)",0,0.0
NE,180,"[7.5, 8.0)",0,0.0
NW,180,"[7.5, 8.0)",0,0.0
S,180,"[7.5, 8.0)",30,0.05301102629346904
SE,180,"[7.5, 8.0)",0,0.0
SW,180,"[7.5, 8.0)",0,0.0
W,180,"[7.5, 8.0)",0,0.0
E,180,"[8.0, 8.5)",0,0.0
N,180,"[8.0, 8.5)",0,0.0
NE,180,"[8.0, 8.5)",0,0.0
NW,180,"[8.0, 8.5)",0,0.0
S,180,"[8.0, 8.5)",34,0.06007916313259824
SE,180,"[8.0, 8.5)",0,0.0
SW,180,"[8.0, 8.5)",0,0.0
W,180,"[8.0, 8.5)",0,0.0
E,180,"[8.5, 9.0)",0,0.0
N,180,"[8.5, 9.0)",0,0.0
NE,180,"[8.5, 9.0)",0,0.0
NW,180,"[8.5, 9.0)",0,0.0
S,180,"[8.5, 9.0)",8,0.01413627367825841
SE,180,"[8.5, 9.0)",0,0.0
SW,180,"[8.5, 9.0)",0,0.0
W,180,"[8.5, 9.0)",0,0.0
E,180,"[9.0, 9.5)",0,0.0
N,180,"[9.0, 9.5)",0,0.0
NE,180,"[9.0, 9.5)",0,0.0
NW,180,"[9.0, 9.5)",0,0.0
S,180,"[9.0, 9.5)",7,0.01236923946847611
SE,180,"[9.0, 9.5)",0,0.0
SW,180,"[9.0, 9.5)",0,0.0
W,180,"[9.0, 9.5)",0,0.0
E,180,"[9.5, 10.0)",0,0.0
N,180,"[9.5, 10.0)",0,0.0
NE,180,"[9.5, 10.0)",0,0.0
NW,180,"[9.5, 10.0)",0,0.0
S,180,"[9.5, 10.0)",1,0.0017670342097823013
SE,180,"[9.5, 10.0)",0,0.0
SW,180,"[9.5, 10.0)",0,0.0
W,180,"[9.5, 10.0)",0,0.0
E,180,"[10.0, 10.5)",0,0.0
N,180,"[10.0, 10.5)",0,0.0
NE,180,"[10.0, 10.5)",0,0.0
NW,180,"[10.0, 10.5)",0,0.0
S,180,"[10.0, 10.5)",4,0.007068136839129205
SE,180,"[10.0, 10.5)",0,0.0
SW,180,"[10.0, 10.5)",0,0.0
W,180,"[10.0, 10.5)",0,0.0
E,180,"[10.5, 11.0)",0,0.0
N,180,"[10.5, 11.0)",0,0.0
NE,180,"[10.5, 11.0)",0,0.0
NW,180,"[10.5, 11.0)",0,0.0
S,180,"[10.5, 11.0)",0,0.0
SE,180,"[10.5, 11.0)",0,0.0
SW,180,"[10.5, 11.0)",0,0.0
W,180,"[10.5, 11.0)",0,0.0
E,180,"[11.0, 11.5)",0,0.0
N,180,"[11.0, 11.5)",0,0.0
NE,180,"[11.0, 11.5)",0,0.0
NW,180,"[11.0, 11.5)",0,0.0
S,180,"[11.0, 11.5)",0,0.0
SE,180,"[11.0, 11.5)",0,0.0
SW,180,"[11.0, 11.5)",0,0.0
W,180,"[11.0, 11.5)",0,0.0
E,180,"[11.5, 12.0)",0,0.0
N,180,"[11.5, 12.0)",0,0.0
NE,180,"[11.5, 12.0)",0,0.0
NW,180,"[11.5, 12.0)",0,0.0
S,180,"[11.5, 12.0)",0,0.0
SE,180,"[11.5, 12.0)",0,0.0
SW,180,"[11.5, 12.0)",0,0.0
W,180,"[11.5, 12.0)",0,0.0
E,180,"[12.0, 12.5)",0,0.0
N,180,"[12.0, 12.5)",0,0.0
NE,180,"[12.0, 12.5)",0,0.0
NW,180,"[12.0, 12.5)",0,0.0
S,180,"[12.0, 12.5)",0,0.0
SE,180,"[12.0, 12.5)",0,0.0
SW,180,"[12.0, 12.5)",0,0.0
W,180,"[12.0, 12.5)",0,0.0
E,180,"[12.5, 13.0)",0,0.0
N,180,"[12.5, 13.0)",0,0.0
NE,180,"[12.5, 13.0)",0,0.0
NW,180,"[12.5, 13.0)",0,0.0
S,180,"[12.5, 13.0)",0,0.0
SE,180,"[12.5, 13.0)",0,0.0
SW,180,"[12.5, 13.0)",0,0.0
W,180,"[12.5, 13.0)",0,0.0
E,180,"[13.0, 13.5)",0,0.0
N,180,"[13.0, 13.5)",0,0.0
NE,180,"[13.0, 13.5)",0,0.0
NW,180,"[13.0, 13.5)",0,0.0
S,180,"[13.0, 13.5)",0,0.0
SE,180,"[13.0, 13.5)",0,0.0
SW,180,"[13.0, 13.5)",0,0.0
W,180,"[13.0, 13.5)",0,0.0
E,180,"[13.5, 14.0)",0,0.0
N,180,"[13.5, 14.0)",0,0.0
NE,180,"[13.5, 14.0)",0,0.0
NW,180,"[13.5, 14.0)",0,0.0
S,180,"[13.5, 14.0)",0,0.0
SE,180,"[13.5, 14.0)",0,0.0
SW,180,"[13.5, 14.0)",0,0.0
W,180,"[13.5, 14.0)",0,0.0
E,180,"[14.0, 14.5)",0,0.0
N,180,"[14.0, 14.5)",0,0.0
NE,180,"[14.0, 14.5)",0,0.0
NW,180,"[14.0, 14.5)",0,0.0
S,180,"[14.0, 14.5)",0,0.0
SE,180,"[14.0, 14.5)",0,0.0
SW,180,"[14.0, 14.5)",0,0.0
W,180,"[14.0, 14.5)",0,0.0
E,180,"[14.5, 15.0)",0,0.0
N,180,"[14.5, 15.0)",0,0.0
NE,180,"[14.5, 15.0)",0,0.0
NW,180,"[14.5, 15.0)",0,0.0
S,180,"[14.5, 15.0)",0,0.0
SE,180,"[14.5, 15.0)",0,0.0
SW,180,"[14.5, 15.0)",0,0.0
W,180,"[14.5, 15.0)",0,0.0
E,180,"[15.0, 15.5)",0,0.0
N,180,"[15.0, 15.5)",0,0.0
NE,180,"[15.0, 15.5)",0,0.0
NW,180,"[15.0, 15.5)",0,0.0
S,180,"[15.0, 15.5)",0,0.0
SE,180,"[15.0, 15.5)",0,0.0
SW,180,"[15.0, 15.5)",0,0.0
W,180,"[15.0, 15.5)",0,0.0
